,Agriculture,Air Pollution,Battery Energy Storage System (BESS),Biodiversity,Carbon Capture and Storage (CCS),Carbon Removal,Chemical Pollution,Climate Data,Climate Finance (impact and thematic investments),Climate Modeling and Predictions,Climate Risks Modeling,Energy Efficiency in Buildings,"Environmental, Social and Governance (ESG) and Disclosures",Farmers Support,Food Security,Forest Management,Greenhouse Gases Measurement and Tracking,Industry,Migration Support,"Monitoring, Reporting and Verification",Ocean Protection,Peatlands,Policy Advice and Knowledge Sharing,Relief Efforts,Renewable Energy and Grid Optimization,Support Renewable Energy Deployment,Transportation,Waste,N/A,No Predicted Label,TP,TN,FP,FN,Precision,Recall
Agriculture,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131,2,0,0.3333333333333333,1.0
Air Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2,0,0.0,
Battery Energy Storage System (BESS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,,
Biodiversity,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,129,2,1,0.5,0.6666666666666666
Carbon Capture and Storage (CCS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,,
Carbon Removal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,,
Chemical Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,,
Climate Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,0,0.0,
Climate Finance (impact and thematic investments),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,0,0.0,
Climate Modeling and Predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,3,1,0.0,0.0
Climate Risks Modeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,,
Energy Efficiency in Buildings,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,128,4,0,0.3333333333333333,1.0
