USING TEXT CLASSIFICATION WITH A BAYESIAN CORRECTION FOR ESTIMATING OVERREPORTING IN THE CREDITOR REPORTING SYSTEM ON CLIMATE ADAPTATION FINANCE,Climate Change Adaptation,Climate Change Adaptation,Climate Finance (impact and thematic investments),Climate Finance (impact and thematic investments),2211.16947
This paper utilizes machine learning text classification methods combined with a Bayesian correction approach to detect and correct overreporting in climate adaptation finance statements within the OECD Development Assistance Committee's Creditor Reporting System.,"The primary focus of the paper is on improving the accuracy of climate adaptation finance reporting, a key component of climate change adaptation strategies.",,"The paper specifically targets the issue of overreporting in climate change adaptation finance, which falls under the broader sub-category of climate finance, focusing on the accuracy of thematic investments.",,
,Sustainable Finance,Sustainable Finance,"Environmental, Social and Governance (ESG) and Disclosures","Environmental, Social and Governance (ESG) and Disclosures",
,"The paper discusses the credibility and reporting of adaptation finance, which is closely related to sustainable finance practices.",,"The paper's focus on improving the reliability of reported figures aligns with the goals of environmental, social, and governance (ESG) disclosures in ensuring transparency and accountability.",,
,,,,,
,,,,,
CIMF: Climate impact modelling framework,Climate Change Adaptation,Climate Change Adaptation,Climate Risks Modeling,Climate Risks Modeling,2209.12080
"The paper presents a cloud-based modular framework for deploying and operating geospatial models to assess climate impacts. The framework, called CIMF, enables dynamic, flexible, and scalable workflows for climate impact modeling, including calibration, validation, and risk assessment. Flood modeling is used as an example application to demonstrate CIMF's operations. The framework aims to enhance impact modeling accuracy, reduce computational costs, and provide sophisticated uncertainty quantification.",The primary focus of the CIMF is on adapting to climate risks by modeling their impacts on social and natural systems to inform risk management and adaptation strategies.,,"The framework is explicitly designed to assess climate risks, providing tools to model impacts of climate hazards like flooding, making 'Climate Risks Modeling' the appropriate sub-category.",,
,Climate Science,Climate Science,Climate Modeling and Predictions,Climate Modeling and Predictions,
,"The paper discusses the integration of multiple models, both simulation-based and machine learning, which relates to advancing climate modeling and prediction accuracy.",,The framework supports integrating various climate models and predictions into impact assessment processes.,,
Multi-scale Digital Twin: Developing a fast and physics-informed surrogate model for groundwater contamination with uncertain climate models,Climate Change Adaptation,N/A,Climate Risks Modeling,N/A,2211.10884
"The paper presents a multi-scale digital twin model using machine learning and physics-informed approaches to predict groundwater contamination under uncertain climate scenarios. U-Net enhanced Fourier Neural Operator (U-FNO) and neural operator learning are utilized to solve PDEs for complex flow and transport simulations. The model incorporates multi-scale uncertainties in physical simulations, climate data clustering, and provides a surrogate model for real-time predictions to assist in site management and decision-making in response to climate changes.","The primary focus of the paper is on adapting to climate change impacts on groundwater contamination, offering predictive models to assess spatiotemporal variations and manage affected sites better.",,"The paper develops models that predict the impacts of climate change on groundwater contamination, an essential component of understanding and managing climate risks.",,
,Climate Science,Climate Science,Greenhouse Gases Measurement and Tracking,N/A,
,"The paper involves modeling and predicting the impacts of climate change, specifically focusing on evaluating climate data and uncertainties.",,"While the primary focus is not directly on GHGs, the relationship between climate projections and contamination encompasses aspects of climate science related to emissions and temperature impacts.","Despite the fact that it might be true, it is not mentioned in the paper.",
,Pollution,Pollution,Chemical Pollution,Chemical Pollution,
,"The paper addresses soil and groundwater contamination, a form of chemical pollution, by developing techniques to predict and manage these pollutants under varying climate conditions.",,The paper's focus on groundwater contamination directly relates to chemical pollution and the need to predict and manage these pollutants under climate change.,,
,,,,Climate Data,
,,,,Climate Modeling and Predictions,
Evaluating Digital Tools for Sustainable Agriculture using Causal Inference,Climate Change Adaptation,Climate Change Adaptation,Farmers Support,Farmers Support,2211.03195
"The paper examines the impact of digital tools on sustainable agriculture by employing causal inference. It highlights the limitations of current adoption rates of AI-driven farming technologies and the necessity of providing empirical, quantitative evidence of their benefits to farmers. An observational causal inference framework is proposed for assessing farm performance enhancements through digital recommendations, specifically examining a recommendation system for cotton sowing.",The emphasis is on adapting agricultural practices to make them more sustainable and resilient to climate change using data-driven decision support systems.,,"The proposed framework is intended to provide farmers with AI-based recommendations to optimize their agricultural practices, specifically focusing on cotton sowing to increase yield, thus supporting them through enhanced decision-making.",,
,Climate Change Mitigation,N/A,Agriculture,Agriculture,
,"The paper also touches on improving the efficiency and effectiveness of cotton sowing, which can contribute to reducing emissions indirectly by optimizing resource use.",,"While focusing on the empirical evaluation for the farmers, the paper also discusses broader implications for agriculture through digital tool assessments.",,
,,,,Food Security,
,,,,,
LSTM-RASA Based Agri Farm Assistant for Farmers,Climate Change Adaptation,Climate Change Adaptation,Farmers Support,Farmers Support,2204.09717
The paper presents the development of a chatbot named 'Farmer’s Assistant' using the RASA framework to provide expert agricultural advice to farmers. It aims to overcome the limitations of traditional call centers by offering real-time responses and support on agriculture-related queries using a deep learning approach. The chatbot is designed to guide farmers on plant protection and nutrient management by understanding user intents and providing corresponding expert advice.,"The paper focuses on using technology to support farmers in managing agricultural challenges, which is aligned with climate change adaptation, specifically under farmers support.",,"The chatbot is designed to assist farmers with expert agricultural advice on plant protection and nutrient management, directly supporting farmers in their agricultural practices.",,
,N/A,N/A,N/A,N/A,
,"The central theme of the paper is focused on agricultural support using technology, with no explicit discussion on other sustainable development categories.",,"The paper solely focuses on agricultural support through a chatbot, with no other sub-category directly addressed.",,
Towards Global Crop Maps with Transfer Learning,Climate Change Adaptation,Climate Change Adaptation,Farmers Support,Farmers Support,2211.04755
"This paper presents a deep learning approach for mapping crops using transfer learning with Sentinel-1 satellite data. The model, initially developed for paddy rice detection in South Korea, is fine-tuned to detect paddy rice in France and Spain and barley in the Netherlands. The study highlights the challenges and possibilities of using deep learning models with limited ground samples for crop mapping in different regions and crop types.","Climate change adaptation involves methods to deal with the impacts of climate change, such as changes in agricultural productivity. The paper's focus on improving crop mapping is directly related to adapting agricultural practices to better manage food security under climate pressure.",,"The sub-category 'Farmers Support' aligns with the paper's objective to improve agricultural practices by providing detailed crop maps, which assist farmers in monitoring and management.",,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,"The paper applies deep learning to create precise crop maps, a task that involves extensive use of climate data and environmental monitoring systems.",,The usage of Earth Observation data for climate predictions relates to the sub-category of climate modeling and predictions.,,
,,,,Food Security,
,,,,,
Farmer’s Assistant: A Machine Learning Based Application for Agricultural Solutions,Climate Change Adaptation,N/A,Food Security,N/A,2204.11340
"This paper presents a Machine Learning-based application designed to assist farmers with agricultural solutions. It provides functionalities like plant disease detection, crop recommendation, and fertilizer recommendation using deep learning models such as EfficientNet and Random Forest. The application is designed to be user-friendly and aims to improve crop production by addressing common farming challenges. It also incorporates interpretability techniques to explain predictions made by its machine learning models.","The paper primarily focuses on providing tools to help farmers adapt to various agricultural challenges such as crop diseases and soil quality. These are key aspects of climate change adaptation, particularly in the context of food security.","Agriculture is not mentionned from a climat perspective. The authors focus on developping an AI tool that could help farmers, especilly in India","The main sub-category is food security because the application addresses key agricultural challenges that directly impact the yield, which is crucial for ensuring food availability and security.","Agriculture is not mentionned from a climat perspective. The authors focus on developping an AI tool that could help farmers, especilly in India",
,Climate Change Mitigation,N/A,Agriculture,N/A,
