research_field,anomalydetection,artificialintelligence,autonomousvehiclesystems,computationalbiology,computervision,deeplearning,deepreinforcementlearning,generativemodels,graphneuralnetwork,machinelearning,mathematics,medical,medicalimaging,naturallanguageprocessing,outofdistribution,recommendationsystems,reinforcementlearning,robotics,speechprocessing,speechrecognition,weatherforecast
anomalydetection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificialintelligence,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autonomousvehiclesystems,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computationalbiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computervision,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning,0,0,0,1,0,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
deepreinforcementlearning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generativemodels,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graphneuralnetwork,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machinelearning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mathematics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medicalimaging,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
naturallanguageprocessing,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
outofdistribution,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recommendationsystems,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reinforcementlearning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
robotics,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speechprocessing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speechrecognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
weatherforecast,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
