,3D Scene Understanding,3D Vision,AI Consciousness,AI Ethics and Human-Computer Interaction (HCI),AI for Humanity,Accent Classification,Attention Mechanisms,Bayesian Inference and Generative Models,Combinatorial Optimization,Computational Biology,Continual Learning (CL),Cross-lingual Transfer,Cross-lingual Transfer Learning,Energy Management in Robotic Systems,Evaluation Metrics,Fairness in AI,Fairness in Recommender Systems,Generative Models,Goal-conditioned Reinforcement Learning,Graph Learning,Graph Neural Networks,Graph Neural Networks (GNNs),Human-in-the-loop Reinforcement Learning,Interpretability,Long-Term Memory,Medical Image Segmentation,Medical Imaging,Microscopy Image Analysis,Model Compression / Sparse Training / Pruning,Model Compression and Sparse Training,"Model Safety, Ethics in AI",Model-Free Reinforcement Learning,Molecular Property Prediction,Multi-Agent Reinforcement Learning,Multilingual Datasets and Large Language Models,Multilingual Text Corpus Creation,Multilingual and Low-Resource Language Processing,Natural Language Processing,Navigation Agents,Neural Differential Equations,Neural Network Architectures,Neural Network Optimization,Neural-Symbolic Learning,Optimization,Optimization in Deep Learning,Out-of-Distribution Detection,Protein Structure Prediction,Reinforcement Learning,Representation Learning,Robot Photography,Robotic Photography,Sample-efficient Reinforcement Learning,Scene Understanding,Text Classification,Theorem Proving,Time Series Forecasting,Time-Series Analysis,Time-Series Anomaly Detection,Trajectory Prediction,Transit Network Design / Graph Learning,Ultrasound Imaging,Visual Computing,Visual Question Answering,Visual Question Answering (VQA),
3D Scene Understanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D Vision,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Consciousness,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Ethics and Human-Computer Interaction (HCI),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI for Humanity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accent Classification,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attention Mechanisms,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayesian Inference and Generative Models,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combinatorial Optimization,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computational Biology,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
