primary_research_field,3dsceneunderstanding,6dofswimmingrobots,adversarialrobustness,aiethics,anomalydetection,artcreation,artificialintelligence,astroparticlephysics,astrophysics,audioclassification,audiosignalprocessing,autonomousvehiclesimulation,autonomousvehiclesystems,bidoptimization,brainencoding,causalrepresentationlearning,cellularbiology,combinatorialoptimization,computergraphics,computervision,continualreinforcementlearning,deeplearning,deeplearningoptimization,deepreinforcementlearning,distributedtraining,empiricalsoftwareengineering,fewshotlearning,forestmonitoring,generativemodeling,graphbasedlearning,graphgenerativemodels,graphmachinelearning,graphneuralnetwork,graphneuralnetworks,humancomputerinteraction,humanrobotinteraction,incontextlearning,knowledgedistillation,largelanguagemodels,linkprediction,literaturereview,logicalreasoninganddeeplearning,machinelearning,mathematics,medical,medicalimageanalysis,medicalimagesegmentation,medicalpredictiveanalytics,metalearning,microscopy,mlops,mobilityloadbalancing,modelbiases,multiagentreinforcementlearning,multilabeltextclassification,multimodallearning,musicrecommendation,naturallanguageprocessing,navigationassistance,onlinedisplayadvertisement,ooddetection,optimizationalgorithm,outofdistribution,outofdistributiondetection,phylogenetics,proteinstructureprediction,radioastronomy,recommendationsystems,recommendersystems,reinforcementlearning,reinforcementlearningreduction,robotexploration,robotics,robotperceptionandplanningin3denvironments,sceneinference,scheduling,scientificmachinelearning,selfimprovementforlargelanguagemodels,simultaneouslocalizationandmapping,slam,softwaredevelopment,softwareengineering,speechrecognition,syntheticdata,text2image,theoremproving,theoreticalneuroscience,timeseriesanomalydetection,timeseriesforecasting,transitnetworkdesign,ultrasoundlocalizationmicroscopy,visionandlanguagereasoning,visualcomputing,visualreasoning,weatherforecast,workingmemory
3dsceneunderstanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6dofswimmingrobots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adversarialrobustness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aiethics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anomalydetection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
artcreation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificialintelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
astroparticlephysics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
astrophysics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioclassification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
